filename,word,list_chars,list_chars_utf8
p1_অনুদান.mp4,অনুদান,"['অ', 'ন', 'ু', 'দ', 'া', 'ন']","[b'\xe0\xa6\x85', b'\xe0\xa6\xa8', b'\xe0\xa7\x81', b'\xe0\xa6\xa6', b'\xe0\xa6\xbe', b'\xe0\xa6\xa8']"
p5_অলস.mp4,অলস,"['অ', 'ল', 'স']","[b'\xe0\xa6\x85', b'\xe0\xa6\xb2', b'\xe0\xa6\xb8']"
p3_অভিজ্ঞ.mp4,অভিজ্ঞ,"['অ', 'ভ', 'ি', 'জ', '্', 'ঞ']","[b'\xe0\xa6\x85', b'\xe0\xa6\xad', b'\xe0\xa6\xbf', b'\xe0\xa6\x9c', b'\xe0\xa7\x8d', b'\xe0\xa6\x9e']"
p1_আঁকা.mp4,আঁকা,"['আ', 'ঁ', 'ক', 'া']","[b'\xe0\xa6\x86', b'\xe0\xa6\x81', b'\xe0\xa6\x95', b'\xe0\xa6\xbe']"
p1_আকর্ষণ.mp4,আকর্ষণ,"['আ', 'ক', 'র', '্', 'ষ', 'ণ']","[b'\xe0\xa6\x86', b'\xe0\xa6\x95', b'\xe0\xa6\xb0', b'\xe0\xa7\x8d', b'\xe0\xa6\xb7', b'\xe0\xa6\xa3']"
p1_অভিমুখ.mp4,অভিমুখ,"['অ', 'ভ', 'ি', 'ম', 'ু', 'খ']","[b'\xe0\xa6\x85', b'\xe0\xa6\xad', b'\xe0\xa6\xbf', b'\xe0\xa6\xae', b'\xe0\xa7\x81', b'\xe0\xa6\x96']"
p1_অর্থনীতি.mp4,অর্থনীতি,"['অ', 'র', '্', 'থ', 'ন', 'ী', 'ত', 'ি']","[b'\xe0\xa6\x85', b'\xe0\xa6\xb0', b'\xe0\xa7\x8d', b'\xe0\xa6\xa5', b'\xe0\xa6\xa8', b'\xe0\xa7\x80', b'\xe0\xa6\xa4', b'\xe0\xa6\xbf']"
p6_অনুসন্ধান.mp4,অনুসন্ধান,"['অ', 'ন', 'ু', 'স', 'ন', '্', 'ধ', 'া', 'ন']","[b'\xe0\xa6\x85', b'\xe0\xa6\xa8', b'\xe0\xa7\x81', b'\xe0\xa6\xb8', b'\xe0\xa6\xa8', b'\xe0\xa7\x8d', b'\xe0\xa6\xa7', b'\xe0\xa6\xbe', b'\xe0\xa6\xa8']"
p5_আগুন.mp4,আগুন,"['আ', 'গ', 'ু', 'ন']","[b'\xe0\xa6\x86', b'\xe0\xa6\x97', b'\xe0\xa7\x81', b'\xe0\xa6\xa8']"
p1_অপ্রীতিকর.mp4,অপ্রীতিকর,"['অ', 'প', '্', 'র', 'ী', 'ত', 'ি', 'ক', 'র']","[b'\xe0\xa6\x85', b'\xe0\xa6\xaa', b'\xe0\xa7\x8d', b'\xe0\xa6\xb0', b'\xe0\xa7\x80', b'\xe0\xa6\xa4', b'\xe0\xa6\xbf', b'\xe0\xa6\x95', b'\xe0\xa6\xb0']"
